New Report																											
----------																											
	Ap [µm²]	CIT [%]	E* [MPa]	EIT [MPa]	Epsilon	Er [MPa]	F/S² [µm²/µN]	Fmax [µN]	HIT [kPa]	HVIT [Vickers]	Poisson's ratio (?)	R2	RIT [%]	S [µN/µm]	Welast [pJ]	Wplast [pJ]	Wtotal [pJ]	hc [µm]	hmax [µm]	hp [µm]	hr [µm]	m	nIT [%]	Temperature [°C]	X position [mm]	Y position [mm]	Z position [mm]
Measurement 27	96145.59375	85.95600128	1.278794646	1.163702965	0.726999998	1.278790116	0.002504232	501.3171997	5.214147091	0.000531513	0.300000012	1.470631003	-6.732049942	447.4237366	470.8463745	9942.631836	10413.47852	31.60282707	32.41739655	-22.06267929	31.29694557	48.62326431	4.521509171	0	11.58846664	39.99960709	7.879733563
Measurement 28	92921.90625	37.16899109	0.550185561	0.500668883	0.726999998	0.550184727	0.013889073	497.4146729	5.353040218	0.000545672	0.300000012	1.152157307	-5.816409588	189.2442474	1170.20166	6793.271484	7963.472656	30.50874329	32.41961288	-39.20419693	29.79118347	27.24968529	14.69461536	0	11.68846703	40.8996048	7.69822216
Measurement 29	93618.82031	49.69421005	0.566730142	0.515724421	0.726999998	0.566729248	0.012961089	496.2106628	5.300329685	0.000540299	0.300000012	1.131573916	-6.503642559	195.6646118	1080.234253	7654.445801	8734.680664	30.74505425	32.58874512	-31.32794952	30.05271912	25.20347977	12.36718655	0	11.68846703	40.99960709	7.711965561
Measurement 30	85155.84375	77.64003754	0.736149013	0.669895589	0.726999998	0.736147523	0.008552481	502.5119324	5.901085377	0.000601538	0.300000012	1.139867663	-5.849639893	242.3969421	882.4974976	8600.175781	9482.673828	27.88343239	29.39057159	-25.3495903	27.31747818	26.40504265	9.306420326	0	11.68846703	41.09960556	7.733536243
Measurement 31	92995.15625	80.0280304	0.834660888	0.759541392	0.726999998	0.83465898	0.006019803	496.559021	5.339622021	0.000544304	0.300000012	1.158340693	-5.774177074	287.2065125	723.5918579	9303.181641	10026.77344	30.53357887	31.79050636	-20.48875618	30.06157875	30.23798752	7.216597557	0	11.68846703	41.19960785	7.762111664
Measurement 32	104591.6641	84.96243286	0.881919563	0.802546799	0.726999998	0.881917417	0.004837779	501.0823364	4.790843964	0.000488363	0.300000012	1.181971908	-6.334917545	321.8336792	639.916748	10741.15527	11381.07227	34.48153305	35.61344528	-18.31651306	34.05648422	34.63797379	5.62264061	0	11.68846703	41.29960632	7.796191216
Measurement 33	111942.3984	103.0566254	0.884231925	0.804651082	0.726999998	0.884229839	0.004477519	498.9677734	4.457361698	0.000454369	0.300000012	1.234335542	-7.222588539	333.8239746	596.9884033	12366.83496	12963.82324	37.00148392	38.08812714	-18.52770805	36.59342575	37.8776474	4.605033875	0	11.68846703	41.39960861	7.841212273
Measurement 34	122504.0625	100.7186279	0.808009505	0.73528868	0.726999998	0.808007777	0.004919795	501.0010071	4.089668751	0.000416888	0.300000012	1.250298739	-7.357331753	319.1139832	610.9146729	13441.91309	14052.82813	40.64638138	41.78775406	-18.18582344	40.21777725	38.20032883	4.347271919	0	11.68846703	41.49960709	7.895596027
Measurement 35	122838.3906	93.30142212	0.703260064	0.639966667	0.726999998	0.703258753	0.006468782	500.3765564	4.073454857	0.000415235	0.300000012	1.178524494	-6.767070293	278.12323	693.3532715	13338.4541	14031.80664	40.76222992	42.07018662	-20.15746689	40.27106857	34.58786011	4.941297054	0	11.68846703	41.59960556	7.961702347
Measurement 36	122067.4609	99.76482391	0.684391081	0.62279588	0.726999998	0.68438983	0.00688322	501.0820007	4.104959488	0.000418446	0.300000012	1.145851135	-6.21696043	269.8103333	724.1505737	13462.44141	14186.5918	40.49513626	41.84529495	-15.82505894	39.98813248	31.05291557	5.104471684	0	11.68846703	41.69960785	8.036448479
Measurement 37	145771.9844	84.06219482	0.529769003	0.482089818	0.726999998	0.529768229	0.009606027	500.3798828	3.432620525	0.00034991	0.300000012	1.134825587	-6.801039219	228.2327728	870.6268921	14741.10547	15611.73242	48.78016281	50.37404633	-16.1908741	48.18163681	30.36152458	5.576747894	0	11.68846703	41.79960632	8.118191719
Measurement 38	86686.94531	31.16062355	0.635892868	0.578662515	0.726999998	0.635891736	0.01116406	498.2557678	5.747760296	0.000585908	0.300000012	1.149000168	-6.511524677	211.2589417	1054.411377	5751.980469	6806.39209	28.3998642	30.11449814	-32.54312515	27.75599098	26.56664276	15.4914875	0	11.68846703	40.79960632	7.694451332
Measurement 39	76855.17188	39.80572128	0.688808203	0.626815438	0.726999998	0.688806891	0.010722123	497.804657	6.477178097	0.000660263	0.300000012	1.153705597	-5.781718254	215.4711304	1035.330078	5906.207031	6941.537109	25.09344101	26.77303314	-36.33650589	24.46272659	27.31650734	14.9149971	0	11.68846703	40.69960785	7.696498394
Measurement 40	79151.72656	39.99398041	0.662422955	0.602804899	0.726999998	0.662421763	0.011295155	499.4958191	6.310612202	0.000643284	0.300000012	1.157477975	-6.626613617	210.2905884	1070.197632	6086.794434	7156.992188	25.86370659	27.59052467	-36.91629028	25.21525955	27.15773582	14.95317554	0	11.68846703	40.59960938	7.704053402
Measurement 41	77254.20313	41.1795845	0.629720926	0.573046088	0.726999998	0.629719853	0.012866852	501.879303	6.496466637	0.000662229	0.300000012	1.155756831	-6.425906658	197.4983673	1125.481934	6200.494629	7325.976563	25.2271843	27.07462502	-41.95770264	24.53344154	27.1654377	15.3628931	0	11.68846703	40.49960709	7.720213413
Measurement 42	91797.07031	25.24836731	0.721456945	0.656525791	0.726999998	0.721455514	0.008177748	497.4985046	5.419546604	0.000552451	0.300000012	1.185805321	-5.700632572	246.6488037	955.7808838	5681.168457	6636.949219	30.12758446	31.59396553	-30.7062149	29.57693481	30.88705826	14.40090752	0	11.68846703	40.3996048	7.744170189
Measurement 43	120334.6484	29.02623749	0.574414909	0.522717595	0.726999998	0.574414074	0.009951097	503.062439	4.180528641	0.00042615	0.300000012	1.251947045	-7.812857628	224.8409729	1093.543701	8724.066406	9817.610352	39.89533997	41.52194214	-41.12715149	39.28452683	36.93955612	11.13859272	0	11.68846703	40.29960632	7.763446808
Measurement 44	145371.7188	40.31325912	0.372552365	0.339022666	0.726999998	0.372552007	0.019390255	498.1353455	3.426631928	0.0003493	0.300000012	1.182301998	-7.34475565	160.2809601	1452.499512	11603.87793	13056.37695	48.63900375	50.89844131	-44.40381622	47.79055405	30.66463089	11.12482834	0	11.68846703	40.19960403	7.791329384
Measurement 45	142885.3906	49.78862762	0.607650459	0.552961886	0.726999998	0.607649446	0.007427144	498.9143372	3.491709709	0.000355934	0.300000012	1.308497071	-7.312985897	259.1803589	955.7677002	11966.19531	12921.96289	47.76315308	49.16260529	-33.15156174	47.23763657	42.76127625	7.396459103	0	11.68846703	40.09960938	7.839503288
Measurement 46	96152.65625	81.75080872	1.192978859	1.085610747	0.726999998	1.192975044	0.002880295	501.8465576	5.219269276	0.000532036	0.300000012	1.331874013	-6.057379246	417.4140015	518.5897217	9884.602539	10403.19238	31.60522842	32.47928238	-19.03178215	31.27700615	42.84465027	4.984910011	0	11.68846703	39.99960709	7.901688576
Measurement 47	94806.03906	40.58956146	0.583261192	0.530767679	0.726999998	0.583260238	0.012220758	501.8442688	5.29337883	0.00053959	0.300000012	1.167084217	-6.327618599	202.6447906	1094.063721	7325.99707	8420.061523	31.14789009	32.94828796	-36.04628754	30.4718132	27.86001587	12.99353695	0	11.78846645	40.8996048	7.731066227
Measurement 48	89899.80469	55.43960571	0.644684136	0.586662591	0.726999998	0.644683003	0.01047249	498.2086792	5.54182148	0.000564916	0.300000012	1.143594146	-5.604857922	218.1125488	982.1264038	7741.816895	8723.943359	29.48538399	31.14598465	-28.45863342	28.86180305	26.09451866	11.25782681	0	11.78846645	40.99960709	7.744843006
Measurement 49	88589.27344	67.32328033	0.720127463	0.655315936	0.726999998	0.720125973	0.008518206	498.260437	5.624387741	0.000573332	0.300000012	1.149625063	-6.451856613	241.8544769	878.2338867	8395.709961	9273.943359	29.04229355	30.54003525	-25.18680763	28.47986984	27.04968452	9.469907761	0	11.78846645	41.09960556	7.763308048
Measurement 50	94944.22656	75.69748688	0.741905272	0.675133765	0.726999998	0.741903722	0.007536617	501.4760437	5.281796455	0.000538409	0.300000012	1.164647937	-6.713921547	257.9508057	833.2442017	9434.813477	10268.05859	31.19480324	32.60814667	-24.30020523	30.66406822	29.27269173	8.114914894	0	11.78846645	41.19960785	7.788808346
Measurement 51	112471.0156	76.29627991	0.743829489	0.67688483	0.726999998	0.743827999	0.006292918	498.5949402	4.433097363	0.000451896	0.300000012	1.186409712	-6.161244869	281.4802246	745.6655884	11196.98438	11942.65039	37.18322754	38.47098541	-21.05883217	36.69965363	33.60737228	6.243719578	0	11.78846645	41.29960632	7.81978178
Measurement 52	122952.6719	89.63469696	0.710193992	0.646276474	0.726999998	0.710192621	0.006307742	498.0515747	4.050758362	0.000412921	0.300000012	1.251291633	-6.524950981	280.9960327	721.1500244	13096.22656	13817.37695	40.80183792	42.09041214	-26.16218185	40.31796265	38.50747681	5.219152927	0	11.78846645	41.39960861	7.863232613
Measurement 53	130249.8203	91.03456116	0.650287807	0.591761947	0.726999998	0.650286675	0.007111699	498.7355652	3.829069376	0.000390323	0.300000012	1.205725193	-6.648521423	264.8186035	745.4888916	13927.73633	14673.22559	43.33797836	44.70714569	-22.52212334	42.82383728	35.69739532	5.080606937	0	11.78846645	41.49960709	7.918411255
Measurement 54	139004.5781	85.17305756	0.560510635	0.510064662	0.726999998	0.560509741	0.008975947	499.0979919	3.59051466	0.000366006	0.300000012	1.140283227	-7.465379715	235.8048706	831.3410645	14137.54688	14968.88867	46.39943695	47.93818665	-14.6815691	45.82161331	29.58545876	5.553792954	0	11.78846645	41.59960556	7.985294342
Measurement 55	130929.8047	103.2413254	0.57760793	0.525623202	0.726999998	0.577606976	0.00895691	498.1633301	3.804811955	0.00038785	0.300000012	1.13760519	-7.546291828	235.834198	852.0656738	14343.44922	15195.51465	43.5750351	45.11071014	-16.13253212	42.99836731	28.99300194	5.607349873	0	11.78846645	41.69960785	8.060012817
Measurement 56	86020.0625	36.02776718	0.699379563	0.636435449	0.726999998	0.699378252	0.009376757	502.3272705	5.839652538	0.000595275	0.300000012	1.16290772	-5.939917088	231.4552612	994.3864746	6257.609863	7251.996582	28.17485809	29.75266838	-30.76481819	27.58236694	27.88439178	13.71189976	0	11.78846645	40.79960632	7.727667332
Measurement 57	83215.89063	35.13232803	0.726556778	0.661166608	0.726999998	0.726555288	0.008891225	497.2963867	5.975978375	0.000609172	0.300000012	1.169403672	-5.531342506	236.4976654	965.2058105	5774.753906	6739.959961	27.22990799	28.75860786	-30.9246788	26.65585518	28.38339233	14.32064629	0	11.78846645	40.69960785	7.729727745
Measurement 58	79109.99219	37.72240829	0.746366739	0.679193735	0.726999998	0.746365249	0.008937129	501.4669189	6.338856697	0.000646163	0.300000012	1.169618964	-6.420444965	236.8766022	968.7622681	5781.977539	6750.740234	25.84969902	27.38875389	-32.71902084	25.27175903	28.39295006	14.35046101	0	11.78846645	40.59960938	7.738836289
Measurement 59	92478.57031	39.28029633	0.619085431	0.563367724	0.726999998	0.619084358	0.011112762	501.5023193	5.422903061	0.000552793	0.300000012	1.159651518	-6.14551115	212.4347076	1057.922729	6641.092285	7699.014648	30.35848045	32.07473373	-31.9312458	29.71399689	27.11272049	13.74101543	0	11.78846645	40.49960709	7.751069546
Measurement 60	115471.5547	34.26657867	0.5404374	0.491798013	0.726999998	0.540436566	0.011679685	501.5401306	4.343408108	0.000442753	0.300000012	1.187165976	-6.559472084	207.2226868	1124.328857	8412.395508	9536.724609	38.21621323	39.97576904	-36.76745605	37.55547333	31.70820427	11.7894659	0	11.78846645	40.3996048	7.767215252
Measurement 61	133126.6719	43.922966	0.409259498	0.372426122	0.726999998	0.409259021	0.017589964	499.3864136	3.751211882	0.000382387	0.300000012	1.226733327	-7.768798828	168.4945526	1412.284302	10639.7002	12051.98438	44.3417244	46.496418	-52.923172	43.53260422	33.544487	11.71827221	0	11.78846645	40.29960632	7.790396214
Measurement 62	138627.1406	50.81425476	0.440426469	0.400788099	0.726999998	0.440425932	0.014576313	499.0589905	3.600008965	0.000366973	0.300000012	1.276473403	-7.826789856	185.0342407	1271.971191	11755.10742	13027.07813	46.26702881	48.22782898	-53.78607559	45.53071213	37.82331848	9.764056206	0	11.78846645	40.19960403	7.824532509
Measurement 63	120080.5547	78.7236557	0.848915815	0.77251339	0.726999998	0.848913848	0.004539855	500.2096252	4.165616989	0.00042463	0.300000012	1.457482219	-7.336725235	331.9365234	746.2099609	11996.88184	12743.0918	39.8074646	40.90300751	-33.2324295	39.39606476	49.19589233	5.855800152	0	11.78846645	40.09960938	7.877354145
Measurement 64	88855.60156	53.92224884	0.702055872	0.638870895	0.726999998	0.70205456	0.008986115	501.0816956	5.639281273	0.00057485	0.300000012	1.145056486	-6.189799786	236.139328	930.0078125	7747.941895	8677.950195	29.13230515	30.67498207	-26.00533867	28.55300522	26.71111679	10.7169075	0	11.88846684	40.8996048	7.768491268
Measurement 65	93438.125	60.53048325	0.710707724	0.646744072	0.726999998	0.710706353	0.008309455	499.3294067	5.343957901	0.000544746	0.300000012	1.141928434	-6.387879849	245.1361237	880.8375244	8560.120117	9440.957031	30.68377113	32.1646347	-24.27069664	30.12768364	27.70583534	9.329959869	0	11.88846684	40.99960709	7.780704975
Measurement 66	102067.6563	67.25769043	0.714531541	0.650223732	0.726999998	0.71453017	0.007550529	500.9758301	4.90827179	0.000500334	0.300000012	1.165516377	-7.056146145	257.5844727	846.8746338	9737.055664	10583.93066	33.61940765	35.03334808	-23.29576683	33.08845139	29.99081802	8.001514435	0	11.88846684	41.09960556	7.796041012
Measurement 67	114259.3281	74.72698975	0.645655036	0.58754611	0.726999998	0.645653963	0.008235164	499.428894	4.371011734	0.000445567	0.300000012	1.180407763	-6.774635792	246.2638702	870.5582886	11365.19922	12235.75781	37.79860687	39.27297974	-27.65189934	37.24495697	33.00005341	7.114871025	0	11.88846684	41.19960785	7.817638874
Measurement 68	123890.7031	83.88426209	0.63396138	0.576904893	0.726999998	0.633960307	0.007895079	500.5292053	4.040087223	0.000411834	0.300000012	1.199258208	-6.352114201	251.7888336	820.3494263	12905.66699	13726.01563	41.12706757	42.57226563	-26.31336975	40.58437347	34.65259171	5.976602554	0	11.88846684	41.29960632	7.850929737
Measurement 69	132486.1719	94.65712738	0.630844057	0.574068129	0.726999998	0.630842984	0.007433218	498.9994812	3.766427279	0.000383938	0.300000012	1.244603157	-7.272089958	259.0965271	765.5733643	14339.47656	15105.0498	44.11805725	45.51819992	-27.13540459	43.59227753	37.72408295	5.068327427	0	11.88846684	41.39960861	7.894358158
Measurement 70	136528.9531	99.8078537	0.600037754	0.546034336	0.726999998	0.60003674	0.007977962	499.3240662	3.657275915	0.000372811	0.300000012	1.194787502	-6.932692528	250.1757965	781.5559082	15088.6748	15870.23145	45.53164291	46.98265457	-23.16853142	44.98676682	35.14777374	4.924666405	0	11.88846684	41.49960709	7.950306416
Measurement 71	91738.57813	50.21714783	0.634654224	0.577535331	0.726999998	0.634653151	0.010601518	498.7731323	5.436895847	0.00055422	0.300000012	1.159867883	-6.326303005	216.9039764	1023.430237	7568.896484	8592.327148	30.10777473	31.77952003	-31.52709579	29.48000717	27.53046227	11.91097927	0	11.88846684	40.79960632	7.764080048
Measurement 72	93189.09375	46.37652969	0.692522585	0.630195499	0.726999998	0.692521274	0.008756474	498.2767944	5.346942902	0.00054505	0.300000012	1.15068531	-6.240306854	238.5452118	943.8374634	7659.904785	8603.742188	30.59932709	32.11789703	-26.06372643	30.02908134	27.85389137	10.97008133	0	11.88846684	40.69960785	7.766132832
Measurement 73	90133.13281	49.31717682	0.739892125	0.673301816	0.726999998	0.739890635	0.007968561	500.621521	5.554244995	0.000566182	0.300000012	1.159951091	-5.909026146	250.6483307	908.6693115	7542.405762	8451.075195	29.5643158	31.01635551	-26.40703774	29.01904869	28.75041771	10.75211525	0	11.88846684	40.59960938	7.776783943
Measurement 74	88916.72656	58.5425148	0.754702985	0.686779678	0.726999998	0.754701436	0.007698495	496.4205933	5.582983017	0.000569111	0.300000012	1.15638864	-5.923243523	253.9346619	868.8934937	7993.08252	8861.976563	29.15296745	30.57418823	-24.37093544	28.61927605	28.10614967	9.804738045	0	11.88846684	40.49960709	7.792122841
Measurement 75	113298.8047	54.1797905	0.6478073	0.589504659	0.726999998	0.647806168	0.008266027	500.4059143	4.416692257	0.000450224	0.300000012	1.156578302	-6.367161274	246.0440216	923.989502	9853.085938	10777.07617	37.46797562	38.94655228	-22.1858387	36.91274643	30.05811501	8.573657036	0	11.88846684	40.3996048	7.809036732
Measurement 76	122087.2266	52.49961853	0.68644762	0.624667347	0.726999998	0.686446369	0.006824175	499.8546753	4.094242573	0.000417354	0.300000012	1.288015842	-6.957008839	270.6430054	914.2330933	10438.29199	11352.52539	40.50197983	41.84468842	-32.60073853	39.99777222	40.30797958	8.053125382	0	11.88846684	40.29960632	7.836061001
Measurement 77	123954.3516	63.75946045	0.728405118	0.662848711	0.726999998	0.728403688	0.005982444	500.9505005	4.0414114	0.000411969	0.300000012	1.555602789	-6.871199131	289.3730469	855.1168213	11482.1084	12337.22559	41.14914322	42.40769196	-46.22592926	40.67653656	51.19903946	6.931192398	0	11.88846684	40.19960403	7.874859333
Measurement 78	106223.3516	59.43249512	0.729027927	0.663415432	0.726999998	0.729026496	0.006933441	498.3856812	4.691865921	0.000478274	0.300000012	1.156169057	-6.489453793	268.1071472	811.2893066	9570.413086	10381.70313	35.03972244	36.39114761	-20.86983681	34.53224182	30.80361176	7.814608097	0	11.98846722	40.8996048	7.80655098
