New Report
----------
	Ap [µm²]	CIT [%]	E* [MPa]	EIT [MPa]	Epsilon	Er [MPa]	F/S² [µm²/µN]	Fmax [µN]	HIT [kPa]	HVIT [Vickers]	Poisson's ratio (?)	R2	RIT [%]	S [µN/µm]	Welast [pJ]	Wplast [pJ]	Wtotal [pJ]	hc [µm]	hmax [µm]	hp [µm]	hr [µm]	m	nIT [%]	Temperature [°C]	X position [mm]	Y position [mm]	Z position [mm]
Measurement 3	19704.334	72.726	0.520	0.473	0.727	0.520	0.074	499.602	25.355	0.003	0.300	1.086	-8.504	82.361	2484.918	16822.176	19307.094	58.486	62.896	-64.879	56.830	21.064	12.870	0.000	11.401	47.144	7.110
Measurement 4	19147.857	63.542	1.066	0.970	0.727	1.066	0.018	496.922	25.952	0.003	0.300	1.176	-7.703	166.504	1285.213	16451.166	17736.377	57.359	59.529	-35.721	56.545	31.915	7.246	0.000	11.564	44.985	6.948
Measurement 5	9712.054	64.850	1.715	1.561	0.727	1.715	0.014	502.565	51.747	0.005	0.300	1.161	-6.825	190.709	1148.884	10119.583	11268.467	34.890	36.806	-35.732	34.171	27.526	10.196	0.000	11.006	46.209	6.864
Measurement 6	12510.803	59.886	1.012	0.921	0.727	1.012	0.031	504.086	40.292	0.004	0.300	1.105	-6.859	127.784	1631.235	11840.254	13471.489	42.395	45.263	-46.092	41.318	23.158	12.109	0.000	11.971	46.396	6.778
Measurement 7	12397.064	73.519	1.008	0.918	0.727	1.008	0.031	503.729	40.633	0.004	0.300	1.118	-7.214	126.694	1637.973	12493.360	14131.333	42.107	44.998	-48.856	41.022	23.606	11.591	0.000	11.112	46.730	6.917
Measurement 8	13231.910	69.727	0.888	0.808	0.727	0.888	0.038	498.699	37.689	0.004	0.300	1.104	-7.944	115.210	1774.258	12718.640	14492.897	44.188	47.335	-49.205	43.006	22.303	12.242	0.000	11.871	46.791	6.885
Measurement 9	6739.051	50.982	3.779	3.439	0.727	3.779	0.004	497.471	73.819	0.008	0.300	1.288	-6.273	350.041	713.860	6749.022	7462.883	25.605	26.638	-29.915	25.217	39.793	9.565	0.000	11.112	45.785	6.860
Measurement 10	14311.550	80.604	1.632	1.485	0.727	1.632	0.010	501.801	35.063	0.004	0.300	1.441	-7.832	220.352	1008.966	14603.221	15612.188	46.784	48.439	-57.569	46.162	46.551	6.463	0.000	11.954	45.296	6.957
Measurement 11	8750.178	47.820	1.665	1.515	0.727	1.665	0.016	499.648	57.102	0.006	0.300	1.136	-7.073	175.734	1197.396	8093.753	9291.149	32.065	34.132	-38.512	31.289	25.550	12.887	0.000	11.488	46.164	6.681
Measurement 12	8840.767	55.538	1.537	1.399	0.727	1.537	0.019	500.721	56.638	0.006	0.300	1.105	-6.620	163.109	1268.599	8703.720	9972.319	32.337	34.569	-35.725	31.499	22.898	12.721	0.000	11.488	46.264	6.689
Measurement 13	9927.560	58.514	1.480	1.347	0.727	1.480	0.018	499.918	50.357	0.005	0.300	1.112	-7.379	166.448	1227.573	9599.787	10827.360	35.504	37.687	-32.943	34.684	23.516	11.338	0.000	11.488	46.364	6.698
Measurement 14	10201.994	63.863	1.477	1.344	0.727	1.477	0.018	497.360	48.751	0.005	0.300	1.116	-6.731	168.358	1221.247	10215.907	11437.154	36.275	38.423	-32.714	35.469	24.080	10.678	0.000	11.488	46.464	6.715
Measurement 15	9907.613	70.772	1.492	1.358	0.727	1.492	0.018	501.545	50.622	0.005	0.300	1.122	-7.258	167.585	1242.808	10549.653	11792.462	35.447	37.623	-34.764	34.630	24.187	10.539	0.000	11.488	46.564	6.741
Measurement 16	10749.507	68.307	1.392	1.267	0.727	1.392	0.019	501.656	46.668	0.005	0.300	1.121	-7.601	162.825	1280.311	10935.864	12216.175	37.784	40.024	-35.477	36.943	24.506	10.480	0.000	11.488	46.664	6.777
Measurement 17	11186.822	72.463	1.229	1.118	0.727	1.229	0.023	497.701	44.490	0.005	0.300	1.120	-7.366	146.673	1398.048	11427.282	12825.331	38.962	41.429	-39.316	38.036	23.796	10.901	0.000	11.488	46.764	6.824
Measurement 18	12004.170	72.582	0.997	0.907	0.727	0.997	0.033	500.558	41.699	0.004	0.300	1.110	-7.536	123.282	1674.152	12039.451	13713.603	41.104	44.056	-48.082	39.995	22.693	12.208	0.000	11.488	46.864	6.882
Measurement 19	13559.736	69.685	0.793	0.722	0.727	0.793	0.046	500.473	36.909	0.004	0.300	1.100	-7.164	104.203	2003.220	12786.942	14790.162	44.987	48.479	-60.292	43.676	22.647	13.544	0.000	11.488	46.964	6.952
Measurement 20	16641.162	74.759	0.667	0.607	0.727	0.667	0.053	500.307	30.064	0.003	0.300	1.099	-8.399	97.148	2108.391	15045.293	17153.686	52.070	55.814	-58.426	50.664	22.183	12.291	0.000	11.488	47.064	7.040
Measurement 21	6418.251	44.772	2.400	2.184	0.727	2.400	0.011	502.486	78.290	0.008	0.300	1.166	-5.428	216.948	1021.621	6205.983	7227.604	24.489	26.173	-39.878	23.856	28.517	14.135	0.000	11.488	45.964	6.701
Measurement 22	5932.447	40.408	2.543	2.314	0.727	2.543	0.010	498.604	84.047	0.009	0.300	1.182	-5.541	221.028	1005.971	5640.685	6646.656	22.745	24.385	-42.356	22.129	29.586	15.135	0.000	11.488	45.864	6.721
Measurement 23	6406.845	31.777	2.906	2.645	0.727	2.906	0.007	502.490	78.430	0.008	0.300	1.227	-5.907	262.498	918.196	5245.292	6163.488	24.449	25.840	-37.688	23.926	33.187	14.897	0.000	11.488	45.764	6.743
Measurement 24	6014.782	34.363	3.816	3.472	0.727	3.816	0.005	501.734	83.417	0.009	0.300	1.261	-5.944	333.907	766.099	5278.961	6045.060	23.045	24.137	-31.620	22.635	37.107	12.673	0.000	11.488	45.664	6.771
Measurement 25	6371.593	35.735	4.645	4.227	0.727	4.645	0.003	498.443	78.229	0.008	0.300	1.170	-5.679	418.408	606.352	5754.369	6360.720	24.324	25.190	-12.570	23.999	31.697	9.533	0.000	11.488	45.564	6.801
Measurement 26	12493.845	72.941	4.143	3.771	0.727	4.143	0.002	495.186	39.634	0.004	0.300	1.294	-7.832	522.594	412.816	12600.785	13013.602	42.352	43.041	4.966	42.093	40.183	3.172	0.000	11.488	45.164	6.931
Measurement 27	7768.063	43.211	4.114	3.744	0.727	4.114	0.003	498.158	64.129	0.007	0.300	1.116	-5.933	409.161	573.346	7343.852	7917.198	29.015	29.900	-4.230	28.683	28.033	7.242	0.000	11.488	45.464	6.834
Measurement 28	8984.655	54.877	3.789	3.448	0.727	3.789	0.003	504.638	56.167	0.006	0.300	1.129	-7.060	405.207	520.271	9217.981	9738.252	32.767	33.673	-2.825	32.427	29.306	5.343	0.000	11.488	45.364	6.870
Measurement 29	9322.520	64.110	4.095	3.726	0.727	4.095	0.003	503.360	53.994	0.006	0.300	1.251	-5.801	446.127	453.877	9907.163	10361.040	33.764	34.584	-8.536	33.456	38.217	4.381	0.000	11.488	45.264	6.905
Measurement 30	16018.726	70.712	2.620	2.385	0.727	2.620	0.004	497.708	31.070	0.003	0.300	2.090	-8.016	374.234	612.409	14930.284	15542.694	50.696	51.663	-34.150	50.333	64.524	3.940	0.000	11.488	45.064	6.956
Measurement 31	7922.186	46.528	1.920	1.748	0.727	1.920	0.013	494.368	62.403	0.006	0.300	1.148	-7.163	192.878	1100.029	7386.958	8486.986	29.506	31.369	-35.941	28.806	26.261	12.961	0.000	11.588	46.064	6.683
Measurement 32	8939.420	47.583	1.611	1.466	0.727	1.611	0.017	499.391	55.864	0.006	0.300	1.119	-5.933	171.923	1207.839	8089.307	9297.146	32.633	34.744	-36.012	31.840	24.359	12.992	0.000	11.588	46.164	6.682
Measurement 33	8511.329	63.651	1.571	1.430	0.727	1.571	0.019	497.867	58.495	0.006	0.300	1.116	-7.321	163.585	1254.237	8941.352	10195.589	31.340	33.552	-38.671	30.509	23.730	12.302	0.000	11.588	46.264	6.683
Measurement 34	10540.869	57.145	1.441	1.312	0.727	1.441	0.018	493.050	46.775	0.005	0.300	1.113	-7.597	166.971	1205.198	9956.903	11162.101	37.214	39.361	-30.737	36.408	23.739	10.797	0.000	11.588	46.364	6.692
Measurement 35	11215.198	63.664	1.332	1.212	0.727	1.332	0.020	500.694	44.644	0.005	0.300	1.116	-7.880	159.164	1298.379	11080.663	12379.042	39.038	41.325	-34.164	38.179	23.997	10.489	0.000	11.588	46.464	6.708
Measurement 36	11350.668	63.440	1.313	1.195	0.727	1.313	0.020	500.741	44.116	0.004	0.300	1.120	-6.552	157.878	1310.233	11011.072	12321.305	39.398	41.704	-33.656	38.532	23.760	10.634	0.000	11.588	46.564	6.736
Measurement 37	10374.093	73.443	1.359	1.237	0.727	1.359	0.020	498.267	48.030	0.005	0.300	1.118	-7.568	156.204	1317.345	10943.162	12260.508	36.754	39.073	-37.018	35.883	23.854	10.745	0.000	11.588	46.664	6.773
Measurement 38	11713.791	66.101	1.168	1.063	0.727	1.168	0.025	499.397	42.633	0.004	0.300	1.116	-7.315	142.645	1446.398	11383.852	12830.250	40.352	42.897	-39.580	39.396	23.558	11.273	0.000	11.588	46.764	6.820
Measurement 39	12569.942	70.060	0.961	0.875	0.727	0.961	0.034	508.068	40.419	0.004	0.300	1.104	-7.055	121.605	1753.078	12472.737	14225.816	42.544	45.581	-50.151	41.403	22.913	12.323	0.000	11.588	46.864	6.879
Measurement 40	13658.306	72.942	0.765	0.696	0.727	0.765	0.049	496.526	36.353	0.004	0.300	1.098	-8.108	100.916	2013.820	13014.650	15028.471	45.225	48.802	-57.733	43.882	21.653	13.400	0.000	11.588	46.964	6.951
Measurement 41	18991.223	80.592	0.645	0.587	0.727	0.645	0.050	504.600	26.570	0.003	0.300	1.104	-8.044	100.312	2099.035	17172.074	19271.109	57.040	60.697	-53.819	55.666	22.765	10.892	0.000	11.588	47.064	7.042
Measurement 42	6908.259	40.259	2.375	2.161	0.727	2.375	0.010	509.451	73.745	0.008	0.300	1.160	-5.499	222.765	1022.587	6377.173	7399.761	26.182	27.845	-36.177	25.558	27.995	13.819	0.000	11.588	45.964	6.696
Measurement 43	6642.768	35.636	2.543	2.315	0.727	2.543	0.009	505.571	76.109	0.008	0.300	1.182	-5.681	233.910	982.943	5669.145	6652.089	25.273	26.844	-37.259	24.683	29.658	14.776	0.000	11.588	45.864	6.716
Measurement 44	6200.630	33.877	2.834	2.579	0.727	2.834	0.008	493.024	79.512	0.008	0.300	1.210	-5.814	251.820	905.596	5043.273	5948.870	23.716	25.139	-36.904	23.181	31.689	15.223	0.000	11.588	45.764	6.738
Measurement 45	6131.159	34.032	3.474	3.161	0.727	3.474	0.005	503.603	82.138	0.008	0.300	1.227	-5.570	306.926	807.341	5324.326	6131.667	23.466	24.659	-30.747	23.018	33.768	13.167	0.000	11.588	45.664	6.764
Measurement 46	6763.330	39.754	3.608	3.283	0.727	3.608	0.004	503.284	74.414	0.008	0.300	1.182	-6.657	334.796	734.439	6410.596	7145.035	25.688	26.781	-19.892	25.278	31.048	10.279	0.000	11.588	45.564	6.793
Measurement 47	8723.287	45.899	3.128	2.846	0.727	3.128	0.005	501.406	57.479	0.006	0.300	1.204	-6.556	329.605	715.059	8292.015	9007.073	31.984	33.090	-20.893	31.569	35.486	7.939	0.000	11.588	45.464	6.825
Measurement 48	9676.749	55.513	3.248	2.956	0.727	3.248	0.004	498.701	51.536	0.005	0.300	1.213	-6.478	360.512	628.128	9640.344	10268.473	34.789	35.795	-13.750	34.411	35.816	6.117	0.000	11.588	45.364	6.862
Measurement 49	9365.382	72.682	4.094	3.726	0.727	4.094	0.002	499.336	53.317	0.005	0.300	1.326	-6.859	447.063	492.311	10361.916	10854.227	33.889	34.701	-13.526	33.584	43.178	4.536	0.000	11.588	45.264	6.899
Measurement 50	12796.545	70.990	3.876	3.527	0.727	3.876	0.002	503.976	39.384	0.004	0.300	2.100	-6.676	494.785	462.838	13218.953	13681.792	43.111	43.852	-20.216	42.833	62.900	3.383	0.000	11.588	45.164	6.924
Measurement 51	16979.633	59.721	1.849	1.683	0.727	1.849	0.007	505.768	29.787	0.003	0.300	1.450	-7.422	271.931	843.029	14903.902	15746.931	52.807	54.159	-34.651	52.299	47.750	5.354	0.000	11.588	45.064	6.950
Measurement 52	7709.879	50.511	1.718	1.563	0.727	1.718	0.017	494.962	64.198	0.007	0.300	1.123	-6.596	170.196	1212.138	7459.053	8671.190	28.829	30.943	-41.620	28.035	24.951	13.979	0.000	11.688	46.064	6.692
Measurement 53	8432.011	53.473	1.498	1.363	0.727	1.498	0.021	501.348	59.458	0.006	0.300	1.102	-6.965	155.167	1321.640	8379.690	9701.331	31.097	33.446	-39.448	30.215	22.560	13.623	0.000	11.688	46.164	6.687
Measurement 54	9073.664	60.722	1.469	1.337	0.727	1.469	0.020	506.742	55.848	0.006	0.300	1.104	-6.506	157.893	1337.589	9445.526	10783.115	33.032	35.365	-38.901	32.155	23.140	12.404	0.000	11.688	46.264	6.689
Measurement 55	11911.399	54.270	1.253	1.140	0.727	1.253	0.021	492.344	41.334	0.004	0.300	1.107	-6.930	154.269	1297.856	10513.412	11811.269	40.865	43.185	-29.957	39.993	22.918	10.988	0.000	11.688	46.364	6.696
Measurement 56	12397.864	59.747	1.240	1.128	0.727	1.240	0.021	507.549	40.938	0.004	0.300	1.118	-6.877	155.753	1357.844	12011.248	13369.093	42.109	44.478	-34.628	41.220	24.275	10.157	0.000	11.688	46.464	6.713
Measurement 57	12657.493	60.695	1.174	1.069	0.727	1.174	0.022	495.916	39.180	0.004	0.300	1.115	-7.733	149.075	1351.029	11549.333	12900.361	42.764	45.182	-32.136	41.856	23.242	10.473	0.000	11.688	46.564	6.742
Measurement 58	11485.344	66.883	1.195	1.087	0.727	1.195	0.024	493.764	42.991	0.004	0.300	1.115	-6.955	144.491	1402.473	11198.200	12600.673	39.753	42.238	-39.182	38.820	23.826	11.130	0.000	11.688	46.664	6.780
Measurement 59	11941.290	67.367	1.107	1.007	0.727	1.107	0.027	507.911	42.534	0.004	0.300	1.117	-7.794	136.503	1565.541	11873.677	13439.218	40.942	43.647	-46.644	39.926	24.266	11.649	0.000	11.688	46.764	6.829
Measurement 60	12490.675	70.509	0.902	0.821	0.727	0.902	0.038	490.875	39.299	0.004	0.300	1.103	-7.402	113.727	1765.899	11979.751	13745.649	42.344	45.482	-53.417	41.166	22.913	12.847	0.000	11.688	46.864	6.890
Measurement 61	15191.409	70.260	0.744	0.677	0.727	0.744	0.046	497.493	32.748	0.003	0.300	1.106	-7.999	103.482	2008.243	13902.612	15910.854	48.828	52.323	-59.464	47.515	23.252	12.622	0.000	11.688	46.964	6.964
Measurement 62	20191.752	77.220	0.604	0.549	0.727	0.604	0.054	502.922	24.907	0.003	0.300	1.104	-8.387	96.814	2166.533	17654.596	19821.129	59.459	63.236	-54.810	58.041	22.724	10.930	0.000	11.688	47.064	7.060
Measurement 63	6990.691	47.328	2.168	1.973	0.727	2.168	0.012	499.115	71.397	0.007	0.300	1.138	-6.878	204.557	1047.382	6772.974	7820.356	26.461	28.235	-34.501	25.795	25.712	13.393	0.000	11.688	45.964	6.703
Measurement 64	6409.079	41.328	2.557	2.327	0.727	2.557	0.009	493.006	76.923	0.008	0.300	1.184	-6.418	231.008	952.375	5814.894	6767.269	24.456	26.008	-36.142	23.874	29.122	14.073	0.000	11.688	45.864	6.721
Measurement 65	6178.096	38.318	2.795	2.543	0.727	2.795	0.008	507.248	82.104	0.008	0.300	1.218	-6.511	247.891	962.262	5620.702	6582.964	23.635	25.123	-39.990	23.076	31.820	14.617	0.000	11.688	45.764	6.743
Measurement 66	6155.994	38.776	3.448	3.137	0.727	3.448	0.005	507.487	82.438	0.008	0.300	1.243	-5.774	305.219	828.515	5919.883	6748.397	23.556	24.764	-32.418	23.102	34.391	12.277	0.000	11.688	45.664	6.769
Measurement 67	7355.128	45.058	3.090	2.812	0.727	3.090	0.006	494.818	67.275	0.007	0.300	1.251	-5.883	298.997	792.834	7189.893	7982.728	27.675	28.879	-31.048	27.224	36.211	9.932	0.000	11.688	45.564	6.797
Measurement 68	8824.293	50.599	2.902	2.641	0.727	2.902	0.005	505.682	57.306	0.006	0.300	1.231	-6.806	307.652	788.337	8958.591	9746.928	32.288	33.483	-25.144	31.839	35.668	8.088	0.000	11.688	45.464	6.830
Measurement 69	10309.275	54.975	2.878	2.619	0.727	2.878	0.005	506.404	49.121	0.005	0.300	1.273	-6.387	329.746	719.876	10130.207	10850.084	36.574	37.691	-22.307	36.155	39.068	6.635	0.000	11.688	45.364	6.867
Measurement 70	10059.504	71.039	3.714	3.380	0.727	3.714	0.003	492.692	48.978	0.005	0.300	1.373	-6.559	420.369	527.571	10622.897	11150.469	35.876	36.728	-15.270	35.556	44.365	4.731	0.000	11.688	45.264	6.901
Measurement 71	13661.216	67.257	2.989	2.720	0.727	2.989	0.003	506.126	37.048	0.004	0.300	1.517	-7.432	394.206	584.213	13549.408	14133.620	45.232	46.166	-17.567	44.882	49.640	4.133	0.000	11.688	45.164	6.925
Measurement 72	7684.979	51.805	1.668	1.518	0.727	1.668	0.019	505.592	65.790	0.007	0.300	1.114	-6.459	165.042	1279.237	7886.358	9165.595	28.748	30.976	-43.359	27.912	24.265	13.957	0.000	11.788	46.064	6.710
Measurement 73	8128.364	54.765	1.454	1.323	0.727	1.454	0.023	505.830	62.230	0.006	0.300	1.091	-7.025	147.881	1386.808	8380.504	9767.312	30.155	32.642	-40.511	29.221	21.386	14.198	0.000	11.788	46.164	6.706
Measurement 74	9269.794	58.770	1.382	1.258	0.727	1.382	0.022	506.716	54.663	0.006	0.300	1.099	-7.359	150.170	1377.064	9506.864	10883.928	33.609	36.062	-38.841	32.688	22.199	12.652	0.000	11.788	46.264	6.708
Measurement 75	10939.261	64.246	1.230	1.120	0.727	1.230	0.024	509.214	46.549	0.005	0.300	1.105	-7.829	145.197	1440.945	11296.591	12737.536	38.298	40.848	-40.118	37.341	23.087	11.313	0.000	11.788	46.364	6.717
Measurement 76	12196.968	66.744	1.184	1.078	0.727	1.184	0.023	506.910	41.560	0.004	0.300	1.115	-7.642	147.589	1411.652	12442.922	13854.574	41.598	44.095	-36.098	40.661	23.349	10.189	0.000	11.788	46.464	6.734
Measurement 77	12126.837	68.887	1.150	1.047	0.727	1.150	0.025	507.512	41.850	0.004	0.300	1.111	-7.028	142.955	1470.504	12503.237	13973.741	41.419	44.000	-38.012	40.450	23.101	10.523	0.000	11.788	46.564	6.763
Measurement 78	12314.019	68.637	1.024	0.932	0.727	1.024	0.030	496.540	40.323	0.004	0.300	1.114	-7.242	128.193	1614.768	11876.111	13490.880	41.897	44.713	-46.921	40.839	23.657	11.969	0.000	11.788	46.764	6.855
Measurement 79	13669.111	68.468	0.866	0.788	0.727	0.866	0.039	503.235	36.816	0.004	0.300	1.111	-7.205	114.255	1840.964	13090.324	14931.288	45.252	48.454	-55.926	44.049	23.698	12.330	0.000	11.788	46.864	6.916
Measurement 80	7162.197	47.687	2.083	1.896	0.727	2.083	0.013	506.950	70.781	0.007	0.300	1.139	-5.929	198.922	1103.324	7103.521	8206.845	27.037	28.889	-37.971	26.341	26.235	13.444	0.000	11.788	45.964	6.722
Measurement 81	6390.323	44.708	2.431	2.212	0.727	2.430	0.011	507.485	79.415	0.008	0.300	1.177	-5.604	219.235	1037.130	6410.930	7448.060	24.390	26.073	-41.176	23.758	29.052	13.925	0.000	11.788	45.864	6.740
Measurement 82	6416.662	42.427	2.702	2.459	0.727	2.702	0.008	506.698	78.966	0.008	0.300	1.215	-6.611	244.210	957.325	6381.789	7339.114	24.483	25.992	-39.419	23.917	31.525	13.044	0.000	11.788	45.764	6.760
Measurement 83	6755.557	45.309	2.936	2.671	0.727	2.936	0.007	507.399	75.108	0.008	0.300	1.255	-6.665	272.252	895.005	6902.008	7797.013	25.661	27.016	-36.856	25.153	34.272	11.479	0.000	11.788	45.664	6.785
Measurement 84	7909.940	52.281	2.675	2.434	0.727	2.675	0.007	503.160	63.611	0.006	0.300	1.279	-6.988	268.470	895.006	8203.451	9098.457	29.467	30.830	-38.952	28.955	37.233	9.837	0.000	11.788	45.564	6.814
Measurement 85	9736.824	56.431	2.277	2.073	0.727	2.277	0.008	506.967	52.067	0.005	0.300	1.311	-7.240	253.582	933.126	9827.863	10760.988	34.961	36.414	-42.616	34.415	39.530	8.671	0.000	11.788	45.464	6.848
Measurement 86	10367.342	62.593	2.560	2.330	0.727	2.560	0.006	497.615	47.998	0.005	0.300	1.408	-6.800	294.133	787.439	10493.721	11281.159	36.735	37.965	-38.959	36.273	45.469	6.980	0.000	11.788	45.364	6.885
Measurement 87	8109.906	51.360	1.561	1.421	0.727	1.561	0.020	506.237	62.422	0.006	0.300	1.109	-6.660	158.662	1324.867	8112.288	9437.154	30.097	32.417	-40.348	29.226	22.806	14.039	0.000	11.888	46.064	6.741
Measurement 88	10718.231	76.814	1.206	1.098	0.727	1.206	0.026	506.878	47.291	0.005	0.300	1.109	-6.961	140.892	1508.901	11661.184	13170.085	37.699	40.315	-42.610	36.717	23.050	11.457	0.000	11.888	46.664	6.848
Measurement 89	5967.744	57.811	2.519	2.293	0.727	2.519	0.010	501.469	84.030	0.009	0.300	1.148	-5.701	219.602	1000.711	6609.140	7609.851	22.874	24.534	-37.129	22.250	27.003	13.150	0.000	11.888	45.864	6.774
Measurement 90	9110.798	67.837	3.343	3.043	0.727	3.343	0.004	500.777	54.965	0.006	0.300	1.120	-6.490	360.100	535.805	9994.840	10530.645	33.141	34.153	-4.220	32.762	27.593	5.088	0.000	11.388	46.364	6.726
Measurement 91	6974.764	62.070	1.563	1.422	0.727	1.563	0.023	498.436	71.463	0.007	0.300	1.105	-6.441	147.276	1395.419	7217.271	8612.689	26.408	28.868	-49.251	25.484	23.082	16.202	0.000	11.388	46.764	6.869
Measurement 92	15193.633	83.406	0.732	0.666	0.727	0.732	0.049	506.107	33.310	0.003	0.300	1.100	-7.601	101.782	2069.809	15178.792	17248.602	48.833	52.448	-60.045	47.475	22.623	12.000	0.000	11.388	47.064	7.060
Measurement 93	3049.266	53.140	13.206	12.017	0.727	13.205	0.001	503.154	165.008	0.017	0.300	1.083	-5.064	822.820	231.322	3127.003	3358.325	10.893	11.337	-1.976	10.726	21.772	6.888	0.000	11.288	46.564	6.854
Measurement 94	3547.368	57.487	10.403	9.467	0.727	10.403	0.001	506.776	142.860	0.015	0.300	1.068	-4.534	699.120	277.147	3770.037	4047.184	12.975	13.502	-0.987	12.777	19.989	6.848	0.000	11.288	46.664	6.886
Measurement 95	2664.629	87.249	9.950	9.054	0.727	9.949	0.001	501.840	188.334	0.019	0.300	1.022	-4.432	579.517	324.440	3192.838	3517.278	9.357	9.987	-1.219	9.121	12.941	9.224	0.000	11.088	46.464	6.924
Measurement 96	3319.892	51.609	9.347	8.506	0.727	9.347	0.001	502.409	151.333	0.015	0.300	1.034	-4.612	607.683	309.792	3364.217	3674.009	12.010	12.611	0.791	11.784	14.297	8.432	0.000	11.088	46.664	6.987
Measurement 97	3110.547	48.703	9.609	8.744	0.727	9.609	0.001	507.937	163.295	0.017	0.300	1.036	-3.876	604.689	315.179	3218.629	3533.808	11.143	11.753	-0.528	10.913	14.621	8.919	0.000	11.188	46.764	6.984
Measurement 98	3929.083	59.858	4.814	4.380	0.727	4.813	0.004	505.999	128.783	0.013	0.300	0.999	-4.783	340.454	505.529	4419.961	4925.489	14.654	15.735	9.123	14.248	4.448	10.264	0.000	11.288	46.964	7.076
Measurement 99	10709.145	64.012	2.510	2.284	0.727	2.510	0.006	499.629	46.654	0.005	0.300	1.304	-7.284	293.076	786.474	10938.396	11724.871	37.674	38.914	-31.109	37.209	41.074	6.708	0.000	11.788	45.164	6.959
Measurement 100	6948.105	51.347	3.137	2.855	0.727	3.137	0.006	504.720	72.641	0.007	0.300	1.350	-6.504	295.084	843.362	6547.781	7391.144	26.318	27.561	-43.381	25.851	41.476	11.410	0.000	11.888	45.364	6.933
Measurement 101	7113.342	71.382	3.427	3.118	0.727	3.427	0.005	497.866	69.990	0.007	0.300	1.364	-6.566	326.109	754.455	7884.582	8639.036	26.873	27.983	-37.216	26.457	42.707	8.733	0.000	11.888	45.264	6.960
