New Report																																																						
----------																																																						
	Ap [µm²]	Ap [µm²]	CIT [%]	CIT [%]	E* [MPa]	E* [MPa]	EIT [MPa]	EIT [MPa]	Epsilon	Epsilon	Er [MPa]	Er [MPa]	F/S² [µm²/µN]	F/S² [µm²/µN]	Fmax [µN]	Fmax [µN]	HIT [kPa]	HIT [kPa]	HVIT [Vickers]	HVIT [Vickers]	Poisson's ratio (?)	Poisson's ratio (?)	R2	R2	RIT [%]	RIT [%]	S [µN/µm]	S [µN/µm]	Welast [pJ]	Welast [pJ]	Wplast [pJ]	Wplast [pJ]	Wtotal [pJ]	Wtotal [pJ]	hc [µm]	hc [µm]	hmax [µm]	hmax [µm]	hp [µm]	hp [µm]	hr [µm]	hr [µm]	m	m	nIT [%]	nIT [%]	Temperature [°C]	Temperature [°C]	X position [mm]	X position [mm]	Y position [mm]	Y position [mm]	Z position [mm]	Z position [mm]
Measurement 9		77797.422		65.391		1.424		1.296		0.727		1.424		0.002		501.321		6.444		0.001		0.3		1.227		-5.136		448.078		445.251		7357.92		7803.171		25.409		26.223		-14.57		25.104		36.46		5.706		0		11.095		36.6		8.947
Measurement 10		84544.633		102.641		1.648		1.5		0.727		1.648		0.002		501.887		5.936		0.001		0.3		1.52		-4.941		540.641		352.243		9467.777		9820.021		27.677		28.352		-18.366		27.424		50.325		3.587		0		11.795		36.6		9.062
Measurement 11		70844.914		74.153		1.306		1.188		0.727		1.306		0.003		502.005		7.086		0.001		0.3		1.151		-5.485		392.155		545.386		7204.421		7749.807		23.083		24.014		-13.895		22.734		29.613		7.037		0		11.435		37.365		8.786
Measurement 12		82762.164		51.235		1.323		1.204		0.727		1.323		0.003		498.655		6.025		0.001		0.3		1.125		-4.617		429.544		465.283		6691.61		7156.894		27.077		27.921		-5.589		26.76		28.866		6.501		0		11.435		37.465		8.798
Measurement 13		78827.211		64.309		1.359		1.237		0.727		1.359		0.003		501.253		6.359		0.001		0.3		1.144		-5.772		430.657		470.611		6923.333		7393.945		25.755		26.601		-8.08		25.437		29.797		6.365		0		11.435		37.565		8.816
Measurement 14		62596.066		96.71		1.66		1.511		0.727		1.66		0.002		498.756		7.968		0.001		0.3		1.147		-4.545		468.711		426.071		6759.486		7185.557		20.339		21.112		-10.208		20.048		29.433		5.93		0		11.435		37.665		8.839
Measurement 15		72366.055		74.418		1.628		1.481		0.727		1.628		0.002		502.299		6.941		0.001		0.3		1.136		-5.155		494.109		414.504		7131.547		7546.051		23.591		24.33		-6.323		23.314		30.153		5.493		0		11.435		37.765		8.87
Measurement 16		79588.188		80.587		1.375		1.251		0.727		1.375		0.003		499.495		6.276		0.001		0.3		1.158		-5.331		437.616		469.273		7924.744		8394.017		26.01		26.84		-9.352		25.699		31.709		5.591		0		11.435		37.865		8.905
Measurement 17		90795.938		83.674		1.174		1.068		0.727		1.174		0.003		496.859		5.472		0.001		0.3		1.155		-6.452		399.075		500.237		9164.939		9665.176		29.789		30.694		-8.044		29.449		31.114		5.176		0		11.435		37.965		8.945
Measurement 18		119422.336		66.123		0.806		0.734		0.727		0.806		0.005		496.463		4.157		0		0.3		1.118		-5.919		314.417		614.827		10771.43		11386.257		39.58		40.728		-4.354		39.149		28.551		5.4		0		11.435		38.065		8.989
Measurement 19		133873.078		71.739		0.647		0.589		0.727		0.647		0.007		495.808		3.704		0		0.3		1.09		-7.438		267.181		743.316		13041.022		13784.338		44.603		45.952		-0.368		44.096		24.961		5.392		0		11.435		38.165		9.037
Measurement 20		140702.703		84.691		0.557		0.507		0.727		0.557		0.009		500.347		3.556		0		0.3		1.093		-6.993		235.802		853.977		14542.516		15396.493		46.996		48.538		-5.189		46.416		25.32		5.547		0		11.435		38.265		9.096
Measurement 21		168907.219		89.984		0.407		0.371		0.727		0.407		0.014		499.545		2.958		0		0.3		1.09		-8.45		188.867		1062.275		17955.771		19018.045		57.016		58.938		-3.885		56.294		23.752		5.586		0		11.435		38.365		9.158
Measurement 22		196323.172		109.663		0.302		0.275		0.727		0.302		0.022		498.03		2.537		0		0.3		1.112		-10.418		151.134		1328.7		22661.568		23990.27		66.978		69.373		-17.123		66.078		26.248		5.538		0		11.435		38.465		9.236
Measurement 23		83870.789		45.454		0.889		0.809		0.727		0.889		0.006		501.137		5.975		0.001		0.3		1.182		-6.23		290.529		862.374		7075.151		7937.525		27.45		28.704		-23.736		26.98		30.402		10.865		0		11.435		37.165		8.787
Measurement 24		86399.461		38.658		0.737		0.67		0.727		0.737		0.008		501.472		5.804		0.001		0.3		1.212		-5.512		244.326		1014.978		6856.979		7871.958		28.303		29.795		-36.394		27.743		32.249		12.894		0		11.435		37.065		8.8
Measurement 25		81895.391		44.302		0.889		0.809		0.727		0.889		0.006		498.468		6.087		0.001		0.3		1.203		-5.853		286.984		874.472		6748.856		7623.329		26.786		28.048		-29.165		26.311		32.94		11.471		0		11.435		36.965		8.818
Measurement 26		83486.859		46.756		1.007		0.916		0.727		1.007		0.005		500.175		5.991		0.001		0.3		1.133		-5.926		328.27		700.706		7087.574		7788.28		27.321		28.429		-13.273		26.905		27.369		8.997		0		11.435		36.865		8.84
Measurement 27		84999.609		51.818		0.896		0.816		0.727		0.896		0.006		499.126		5.872		0.001		0.3		1.086		-6.547		294.925		753.307		7225.597		7978.904		27.831		29.061		-7.802		27.369		21.782		9.441		0		11.435		36.765		8.873
Measurement 28		72548.375		66.658		1.323		1.204		0.727		1.323		0.003		498.449		6.871		0.001		0.3		1.162		-5.35		402.046		538.858		6940.133		7478.992		23.652		24.554		-14.203		23.314		31.261		7.205		0		11.435		36.665		8.913
Measurement 29		76671.203		70.505		1.324		1.205		0.727		1.324		0.003		499.918		6.52		0.001		0.3		1.196		-6.335		413.74		512.48		7496.062		8008.542		25.032		25.91		-15.146		24.702		33.979		6.399		0		11.435		36.565		8.957
Measurement 30		70141.32		96.933		1.766		1.607		0.727		1.766		0.002		500.767		7.139		0.001		0.3		1.353		-5.252		527.82		382.322		7658.462		8040.784		22.849		23.538		-18.703		22.59		44.523		4.755		0		11.435		36.465		9.009
Measurement 31		70985.445		114.515		2.259		2.055		0.727		2.259		0.001		500.133		7.046		0.001		0.3		1.925		-4.987		679.038		272.538		8275.255		8547.794		23.13		23.666		-21.236		22.929		60.964		3.188		0		11.435		36.365		9.06
Measurement 32		74260.07		100.341		3.46		3.149		0.727		3.46		0		499.734		6.73		0.001		0.3		1.394		-5.608		1063.948		153.272		7953.957		8107.229		24.225		24.566		4.191		24.096		43.379		1.891		0		11.435		36.265		9.111
Measurement 33		90912.352		70.228		1.72		1.565		0.727		1.719		0.001		497.44		5.472		0.001		0.3		1.788		-6.309		585.017		326.06		8913.282		9239.343		29.828		30.446		-17.105		29.596		55.923		3.529		0		11.435		36.165		9.155
Measurement 34		86791.539		77.386		1.344		1.223		0.727		1.344		0.002		497.734		5.735		0.001		0.3		1.28		-6.719		446.664		464.89		8769.946		9234.836		28.435		29.245		-15.153		28.131		39.843		5.034		0		11.435		36.065		9.206
Measurement 35		69827.703		70.856		1.506		1.37		0.727		1.506		0.002		503.011		7.204		0.001		0.3		1.174		-5.858		449.009		476.118		6781.161		7257.279		22.744		23.559		-13.731		22.438		33.286		6.561		0		11.535		37.265		8.815
Measurement 36		68099.656		85.741		1.484		1.35		0.727		1.484		0.003		497.698		7.308		0.001		0.3		1.181		-5.774		436.938		478.888		7026.843		7505.731		22.168		22.996		-13.312		21.857		31.876		6.38		0		11.535		37.365		8.818
Measurement 37		82728.328		68.191		1.128		1.027		0.727		1.128		0.004		498.236		6.023		0.001		0.3		1.115		-5.242		366.153		560.548		7689.598		8250.146		27.066		28.055		-8.523		26.694		26.881		6.794		0		11.535		37.465		8.824
Measurement 38		82702.391		65.189		1.109		1.01		0.727		1.109		0.004		499.437		6.039		0.001		0.3		1.145		-6.363		359.995		582.228		7583.285		8165.513		27.057		28.066		-12.457		26.678		29.209		7.13		0		11.535		37.565		8.841
Measurement 39		70262.641		83.398		1.432		1.304		0.727		1.432		0.003		501.927		7.144		0.001		0.3		1.141		-5.163		428.457		474.589		7227.318		7701.907		22.889		23.741		-10.68		22.569		29.382		6.162		0		11.535		37.665		8.864
Measurement 40		72548.352		94.773		1.381		1.257		0.727		1.381		0.003		500.237		6.895		0.001		0.3		1.139		-5.992		419.683		483.275		7807.71		8290.985		23.652		24.519		-9.938		23.327		28.908		5.829		0		11.535		37.765		8.892
Measurement 41		98684.359		67.983		1.06		0.965		0.727		1.06		0.004		501.467		5.082		0.001		0.3		1.155		-5.411		375.756		528.473		9195.698		9724.171		32.466		33.436		-9.272		32.102		32.002		5.435		0		11.535		37.865		8.922
Measurement 42		103445.047		83.119		0.859		0.782		0.727		0.859		0.005		497.212		4.807		0		0.3		1.134		-6.103		311.807		646.9		10845.327		11492.228		34.09		35.249		-11.084		33.654		29.056		5.629		0		11.535		37.965		8.958
Measurement 43		120838.367		83.224		0.651		0.593		0.727		0.651		0.008		501.763		4.152		0		0.3		1.091		-6.326		255.48		774.819		12278.047		13052.865		40.07		41.497		-6.408		39.533		24.392		5.936		0		11.535		38.065		8.999
Measurement 44		130453.703		79.249		0.537		0.489		0.727		0.537		0.01		496.847		3.809		0		0.3		1.086		-6.968		218.832		912.886		13013.961		13926.847		43.409		45.06		-7.539		42.789		23.166		6.555		0		11.535		38.165		9.049
Measurement 45		159645.766		78.002		0.429		0.391		0.727		0.429		0.013		496.918		3.113		0		0.3		1.097		-7.937		193.559		1037.891		15511.841		16549.732		53.701		55.567		-7.59		53		24.601		6.271		0		11.535		38.265		9.1
Measurement 46		172673.016		92.869		0.404		0.368		0.727		0.404		0.014		498.407		2.886		0		0.3		1.098		-8.297		189.411		1038.056		18952.248		19990.305		58.371		60.284		-8.941		57.652		26.308		5.193		0		11.535		38.365		9.158
Measurement 47		63010.836		66.574		1.702		1.549		0.727		1.702		0.002		502.481		7.975		0.001		0.3		1.162		-4.58		482.169		442.992		5788.742		6231.735		20.476		21.234		-11.005		20.192		30.936		7.109		0		11.535		37.165		8.822
Measurement 48		67487.805		54.87		1.568		1.427		0.727		1.568		0.002		503.287		7.457		0.001		0.3		1.161		-5.255		459.573		476.648		5933.393		6410.041		21.964		22.761		-12.032		21.666		31.77		7.436		0		11.535		37.065		8.834
Measurement 49		61995.359		59.579		1.635		1.488		0.727		1.635		0.002		501.452		8.089		0.001		0.3		1.136		-4.757		459.26		452.999		5581.771		6034.77		20.139		20.933		-9.578		19.841		27.944		7.506		0		11.535		36.965		8.851
Measurement 50		58615.18		78.34		1.523		1.386		0.727		1.523		0.003		498.235		8.5		0.001		0.3		1.159		-5.013		416.195		507.437		5928.696		6436.132		19.02		19.89		-15.369		18.693		29.453		7.884		0		11.535		36.865		8.872
Measurement 51		63245.496		75.679		1.525		1.388		0.727		1.525		0.003		501.657		7.932		0.001		0.3		1.16		-4.726		432.774		495.06		6347.589		6842.649		20.554		21.397		-13.566		20.238		30.162		7.235		0		11.535		36.765		8.902
Measurement 52		61765.25		85.62		1.629		1.482		0.727		1.629		0.002		500.869		8.109		0.001		0.3		1.177		-4.896		456.852		452.674		6638.733		7091.408		20.063		20.86		-14.163		19.764		31.945		6.383		0		11.535		36.665		8.939
Measurement 53		74768.195		78.741		1.302		1.185		0.727		1.302		0.003		501.978		6.714		0.001		0.3		1.175		-6		401.728		514.182		7269.894		7784.076		24.395		25.303		-14.872		24.053		32.152		6.606		0		11.535		36.565		8.982
Measurement 54		79810.266		85.519		1.492		1.357		0.727		1.492		0.002		500.809		6.275		0.001		0.3		1.261		-5.368		475.513		416.325		8224.029		8640.355		26.085		26.85		-14.192		25.797		38.97		4.818		0		11.535		36.465		9.029
Measurement 55		84803.133		87.237		1.838		1.672		0.727		1.838		0.001		499.438		5.889		0.001		0.3		2.126		-5.396		603.824		316.178		9068.677		9384.854		27.765		28.366		-25.224		27.539		64.791		3.369		0		11.535		36.365		9.081
Measurement 56		70056.594		119.423		3.662		3.332		0.727		3.661		0		499.709		7.133		0.001		0.3		0.609		-4.224		1093.545		122.539		8038.072		8160.612		22.82		23.153		22.038		22.696		2.439		1.502		0		11.535		36.265		9.133
Measurement 57		62278.324		93.222		1.66		1.511		0.727		1.66		0.002		501.359		8.05		0.001		0.3		1.165		-4.995		467.484		447.214		6587.185		7034.398		20.233		21.013		-12.441		19.94		31.194		6.358		0		11.635		37.265		8.849
Measurement 58		73313.797		76.39		1.45		1.319		0.727		1.45		0.003		497.078		6.78		0.001		0.3		1.159		-5.011		442.969		456.33		7030.11		7486.44		23.908		24.724		-10.862		23.602		31.712		6.095		0		11.635		37.365		8.852
Measurement 59		93948.297		58.182		1.015		0.924		0.727		1.015		0.004		501.767		5.341		0.001		0.3		1.133		-5.132		351.053		598.068		8083.247		8681.315		30.857		31.896		-9.051		30.467		28.648		6.889		0		11.635		37.465		8.857
Measurement 60		89920.852		59.183		1.003		0.912		0.727		1.003		0.004		498.531		5.544		0.001		0.3		1.138		-5.683		339.271		614.662		7799.272		8413.935		29.493		30.561		-12.701		29.091		29.441		7.305		0		11.635		37.565		8.874
Measurement 61		69050.148		102.149		1.419		1.291		0.727		1.419		0.003		498.638		7.221		0.001		0.3		1.171		-5.048		420.644		484.696		7514.174		7998.871		22.485		23.347		-14.551		22.161		31.97		6.06		0		11.635		37.665		8.895
Measurement 62		88023.734		87.985		1.167		1.062		0.727		1.167		0.003		501.798		5.701		0.001		0.3		1.161		-5.808		390.518		516.16		9141.717		9657.876		28.851		29.785		-10.52		28.5		31.368		5.344		0		11.635		37.765		8.918
Measurement 63		110854.844		73.483		0.86		0.783		0.727		0.86		0.005		499.152		4.503		0		0.3		1.129		-6.274		323.108		620.005		10631.822		11251.827		36.628		37.751		-8.616		36.206		30.014		5.51		0		11.635		37.865		8.945
Measurement 64		114947.977		91.587		0.634		0.577		0.727		0.634		0.009		500.923		4.358		0		0.3		1.122		-6.871		242.419		837.718		12245.121		13082.84		38.036		39.538		-17.38		37.472		27.545		6.403		0		11.635		37.965		8.976
Measurement 65		143647.688		72.872		0.513		0.467		0.727		0.513		0.01		500.993		3.488		0		0.3		1.096		-7.5		219.296		951.372		14357.535		15308.906		48.031		49.692		-8.063		47.408		25.281		6.214		0		11.635		38.065		9.015
Measurement 66		153058.938		68.112		0.411		0.374		0.727		0.411		0.015		500.097		3.267		0		0.3		1.095		-7.054		181.558		1137.293		14708.311		15845.604		51.358		53.36		-12.849		50.606		24.037		7.177		0		11.635		38.165		9.064
Measurement 67		66746.75		79.697		1.396		1.27		0.727		1.396		0.003		498.513		7.469		0.001		0.3		1.156		-4.838		406.887		526.136		6693.303		7219.439		21.718		22.609		-13.843		21.383		29.752		7.288		0		11.635		37.165		8.853
Measurement 68		64830.516		82.146		1.351		1.23		0.727		1.351		0.003		497.045		7.667		0.001		0.3		1.164		-5.875		388.247		550.786		6514.625		7065.411		21.081		22.011		-15.241		20.731		29.099		7.796		0		11.635		37.065		8.867
Measurement 69		64665.484		73.783		1.424		1.296		0.727		1.424		0.003		497.058		7.687		0.001		0.3		1.136		-4.77		408.682		499.444		6200.617		6700.06		21.026		21.91		-11.666		20.694		27.606		7.454		0		11.635		36.965		8.885
Measurement 70		64613.473		82.807		1.523		1.386		0.727		1.523		0.003		502.045		7.77		0.001		0.3		1.142		-5.576		436.794		473.778		6643.723		7117.501		21.008		21.844		-12.091		20.695		29.525		6.657		0		11.635		36.865		8.907
Measurement 71		64574.438		79.676		1.679		1.527		0.727		1.679		0.002		499.552		7.736		0.001		0.3		1.201		-5.604		481.297		409.894		6601.583		7011.476		20.995		21.75		-14.762		20.712		35.177		5.846		0		11.635		36.765		8.937
Measurement 72		72270.141		79.944		1.405		1.278		0.727		1.405		0.003		498.814		6.902		0.001		0.3		1.187		-5.121		426.095		475.818		7247.862		7723.68		23.559		24.41		-14.72		23.24		33.426		6.161		0		11.635		36.665		8.972
Measurement 73		79481.82		78.891		1.364		1.241		0.727		1.364		0.003		497.049		6.254		0.001		0.3		1.191		-5.265		433.808		489.876		8243.09		8732.967		25.975		26.808		-12.39		25.662		34.211		5.61		0		11.635		36.565		9.013
Measurement 74		80504.766		104.619		1.474		1.341		0.727		1.474		0.002		497.94		6.185		0.001		0.3		1.291		-6.253		471.925		414.142		8930.033		9344.175		26.318		27.085		-15.187		26.03		40.064		4.432		0		11.635		36.465		9.061
Measurement 75		89863.266		87.075		0		0		0.727		0		0		497.037		5.531		0.001		0.3		2.593		-5.451		0		277.875		9281.51		9559.386		29.473		29.473		-23.854		29.473		72.164		2.907		0		11.635		36.365		9.113
Measurement 76		70295.523		114.284		3.476		3.164		0.727		3.476		0		496.847		7.068		0.001		0.3		1.718		-4.461		1040.054		151.79		7987.94		8139.73		22.9		23.247		-0.691		22.77		50.11		1.865		0		11.635		36.265		9.166
Measurement 77		71248.172		76.674		1.131		1.029		0.727		1.131		0.004		496.555		6.969		0.001		0.3		1.119		-4.954		340.581		617.014		6807.079		7424.093		23.218		24.278		-12.615		22.82		25.305		8.311		0		11.735		37.265		8.887
Measurement 78		71397.109		79.835		1.144		1.041		0.727		1.144		0.004		499.725		6.999		0.001		0.3		1.101		-6.052		345.035		615.036		7037.424		7652.461		23.268		24.321		-9.559		22.872		23.392		8.037		0		11.735		37.365		8.891
Measurement 79		74553.164		79.205		1.217		1.107		0.727		1.217		0.004		503.121		6.748		0.001		0.3		1.123		-5.445		374.921		554.616		7241.776		7796.392		24.323		25.298		-10.191		23.956		26.446		7.114		0		11.735		37.465		8.898
Measurement 80		83047.992		72.903		0.986		0.898		0.727		0.986		0.005		496.033		5.973		0.001		0.3		1.133		-5.147		320.739		675.661		7778.759		8454.42		27.173		28.298		-14.323		26.751		27.559		7.992		0		11.735		37.565		8.912
Measurement 81		80398.648		102.876		1.302		1.185		0.727		1.302		0.003		500.79		6.229		0.001		0.3		1.185		-5.134		416.539		488.172		8591.318		9079.49		26.282		27.156		-13.374		25.954		33.712		5.377		0		11.735		37.665		8.928
Measurement 82		99002.836		98.07		1.083		0.986		0.727		1.083		0.003		495.459		5.004		0.001		0.3		1.261		-6.743		384.65		512.826		10571.671		11084.497		32.575		33.511		-16.448		32.223		38.786		4.627		0		11.735		37.765		8.949
Measurement 83		115218.406		88.985		0.758		0.69		0.727		0.758		0.006		498.776		4.329		0		0.3		1.149		-6.98		290.452		693.969		12175.154		12869.124		38.129		39.377		-12.806		37.66		30.388		5.393		0		11.735		37.865		8.974
Measurement 84		142490.641		74.635		0.502		0.457		0.727		0.502		0.011		498.392		3.498		0		0.3		1.095		-7.013		213.849		953.957		13923.268		14877.225		47.624		49.319		-8.218		46.988		24.688		6.412		0		11.735		37.965		9.004
Measurement 85		77440.148		68.319		1.337		1.216		0.727		1.337		0.003		502.852		6.493		0.001		0.3		1.124		-5.305		419.718		495.786		7270.083		7765.869		25.29		26.161		-7.998		24.962		28.511		6.384		0		11.735		37.165		8.893
Measurement 86		75949.242		67.755		1.333		1.213		0.727		1.333		0.003		501.294		6.6		0.001		0.3		1.134		-5.838		414.434		491.118		7117.485		7608.604		24.79		25.669		-9.023		24.46		28.681		6.455		0		11.735		37.065		8.907
Measurement 87		69482.578		76.267		1.373		1.25		0.727		1.373		0.003		502.91		7.238		0.001		0.3		1.122		-4.755		408.495		508.864		6826.274		7335.138		22.629		23.524		-9.112		22.293		26.509		6.937		0		11.735		36.965		8.925
Measurement 88		72168.836		85.066		1.404		1.277		0.727		1.404		0.003		502.472		6.962		0.001		0.3		1.141		-6.105		425.462		489.962		7586.411		8076.374		23.526		24.384		-10.115		23.203		29.212		6.067		0		11.735		36.865		8.947
Measurement 89		90322.242		59.715		1.296		1.179		0.727		1.296		0.003		499.409		5.529		0.001		0.3		1.174		-6.138		439.474		453.502		7933.675		8387.177		29.628		30.454		-7.073		29.318		33.023		5.407		0		11.735		36.765		8.977
Measurement 90		78079.102		87.224		1.4		1.274		0.727		1.4		0.003		503.875		6.453		0.001		0.3		1.225		-5.469		441.454		457.089		8004.336		8461.426		25.504		26.334		-16.518		25.192		37.543		5.402		0		11.735		36.665		9.014
Measurement 91		87007.906		89.638		1.471		1.339		0.727		1.471		0.002		498.572		5.73		0.001		0.3		1.347		-6.643		489.729		418.957		9229.536		9648.493		28.508		29.248		-14.641		28.23		43.111		4.342		0		11.735		36.565		9.058
Measurement 92		99086.063		75.855		1.592		1.449		0.727		1.592		0.002		496.943		5.015		0.001		0.3		1.938		-5.298		565.516		320.642		9546.452		9867.094		32.603		33.242		-20.269		32.363		60.894		3.25		0		11.735		36.465		9.107
Measurement 93		87338.125		68.683		1.219		1.109		0.727		1.219		0.003		501.747		5.745		0.001		0.3		1.138		-5.64		406.355		503.672		8099.565		8603.238		28.62		29.517		-8.652		28.283		30.912		5.854		0		11.835		37.265		8.936
Measurement 94		78703.758		89.808		1.274		1.159		0.727		1.274		0.003		498.87		6.339		0.001		0.3		1.2		-5.149		403.225		509.131		8022.1		8531.229		25.713		26.613		-15.931		25.376		34.387		5.968		0		11.835		37.365		8.939
Measurement 95		96759.133		72.369		1.025		0.932		0.727		1.025		0.004		501.632		5.184		0.001		0.3		1.178		-6.376		359.643		607.737		9258.188		9865.924		31.811		32.825		-13.08		31.431		32.912		6.16		0		11.835		37.465		8.94
Measurement 96		99252.055		71.882		0.849		0.773		0.727		0.849		0.006		500.934		5.047		0.001		0.3		1.166		-5.499		301.774		751.913		9689.067		10440.979		32.66		33.866		-18.141		32.206		31.33		7.202		0		11.835		37.565		8.952
Measurement 97		100555.859		87.751		1.115		1.015		0.727		1.115		0.003		500.115		4.974		0.001		0.3		1.301		-6.413		399.112		500.449		10208.825		10709.273		33.104		34.015		-17.799		32.762		41.349		4.673		0		11.835		37.665		8.968
Measurement 98		82157.18		71.887		1.393		1.268		0.727		1.393		0.002		502.204		6.113		0.001		0.3		1.154		-5.303		450.503		443.124		7726.382		8169.506		26.874		27.684		-8.145		26.569		32.14		5.424		0		11.835		37.165		8.941
Measurement 99		76627.484		77.267		1.403		1.277		0.727		1.403		0.003		496.748		6.483		0.001		0.3		1.146		-4.884		438.258		459.259		7576.429		8035.688		25.017		25.841		-8.449		24.708		30.253		5.715		0		11.835		37.065		8.955
Measurement 100		72913.992		86.731		1.471		1.338		0.727		1.471		0.002		497.593		6.824		0.001		0.3		1.158		-5.15		448.155		452.276		7497.519		7949.794		23.774		24.582		-10.613		23.471		31.698		5.689		0		11.835		36.965		8.973
Measurement 101		74312.734		98.507		1.425		1.297		0.727		1.425		0.003		501.636		6.75		0.001		0.3		1.151		-5.325		438.386		445.902		8154.824		8600.726		24.242		25.074		-10.254		23.93		30.873		5.184		0		11.835		36.865		8.997
Measurement 102		86967.992		80.521		1.283		1.168		0.727		1.283		0.003		503.95		5.795		0.001		0.3		1.182		-5.109		426.963		458.123		8883.15		9341.273		28.495		29.353		-10.351		28.172		33.639		4.904		0		11.835		36.765		9.029
Measurement 103		88534.508		87.145		1.356		1.234		0.727		1.356		0.002		496.634		5.609		0.001		0.3		1.325		-5.818		455.38		410.247		9131.301		9541.548		29.024		29.817		-17.647		28.726		43.521		4.3		0		11.835		36.665		9.067
Measurement 104		88365.266		101.049		1.401		1.275		0.727		1.401		0.002		500.201		5.661		0.001		0.3		1.279		-6.019		469.981		417.228		9570.42		9987.648		28.967		29.74		-12.641		28.676		39.82		4.177		0		11.935		37.265		8.986
